Read v2 Code,SNOMED CT Concept ID,SNOMED CT Description ID,Description,Quality and Outcomes Framework Read Codes 2017/18,Validated Specific Asthma Read Codes Nissen et al. 2017,Validated Non-Specific Asthma Read Codes Nissen et al. 2017
8796,182729000,282491010,Asthma control step 3,,Y,
8797,182730005,282492015,Asthma control step 4,,Y,
8798,182731009,282493013,Asthma control step 5,,Y,
38DL.00,443117005,2839948011,Asthma control test,,Y,
663q.00,373899003,1212342016,Asthma daytime symptoms,,Y,
663N.00,170631002,264540018,Asthma disturbing sleep,,Y,
663N200,170634005,264543016,Asthma disturbs sleep frequently,,Y,
663N100,170633004,264542014,Asthma disturbs sleep weekly,,Y,
66YK.00,394701000,1488422012,Asthma follow-up,,Y,
663P.00,170637003,264546012,Asthma limiting activities,,Y,
663P000,7.72E+14,1.72E+15,Asthma limits activities 1 to 2 times per month,,Y,
663P100,7.72E+14,1.72E+15,Asthma limits activities 1 to 2 times per week,,Y,
663P200,7.72E+14,1.72E+15,Asthma limits activities most days,,Y,
663x.00,370206005,1208958014,Asthma limits walking on the flat,,Y,
663w.00,370207001,1208959018,Asthma limits walking up hills or stairs,,Y,
663U.00,406162001,2157868010,Asthma management plan given,,Y,
8B3j.00,394720003,1488436019,Asthma medication review,,Y,
9OJA.11,270442000,405054019,Asthma monitored,,Y,
663..11,275908000,411877015,Asthma monitoring,,Y,
66YR.00,401183006,1780379010,Asthma monitoring by doctor,,Y,
66YQ.00,401182001,1780378019,Asthma monitoring by nurse,,Y,
663s.00,370208006,1208960011,Asthma never causes daytime symptoms,,Y,
66Ys.00,473391009,2956621015,Asthma never causes night symptoms,,Y,
663O000,170636007,264545011,Asthma never disturbs sleep,,Y,
663f.00,170658009,264569010,Asthma never restricts exercise,,Y,
66YP.00,395022009,1488722011,Asthma night-time symptoms,,Y,
663e.00,170655007,264566015,Asthma restricts exercise,,Y,
66Yp.00,7.54E+14,1.66E+15,Asthma review using Roy Colleg of Physicians three questions,,Y,
661M100,8.12E+14,2.12E+15,Asthma self-management plan agreed,,Y,
661N100,8.11E+14,2.12E+15,Asthma self-management plan review,,Y,
6.63E+102,170657004,264568019,Asthma severely restricts exercise,,Y,
663V.00,170642006,264551018,Asthma severity,,Y,
6.63E+02,170656008,264567012,Asthma sometimes restricts exercise,,Y,
663n.00,370226009,1208977011,Asthma treatment compliance satisfactory,,Y,
663p.00,370225008,1208976019,Asthma treatment compliance unsatisfactory,,Y,
178A.00,3.41E+14,1.74E+15,Asthma trigger - airborne dust,,Y,
1786,2.01E+14,6.36E+14,Asthma trigger - animals,,Y,
1788,2.01E+14,3.06E+14,Asthma trigger - cold air,,Y,
1785,2.01E+14,3.06E+14,Asthma trigger - damp,,Y,
1784,2.01E+14,3.06E+14,Asthma trigger - emotion,,Y,
178B.00,3.41E+14,1.74E+15,Asthma trigger - exercise,,Y,
1781,3.41E+14,1.74E+15,Asthma trigger - pollen,,Y,
1789,2.01E+14,3.06E+14,Asthma trigger - respiratory infection,,Y,
1787,2.01E+14,3.06E+14,Asthma trigger - seasonal,,Y,
1782,3.41E+14,1.74E+15,Asthma trigger - tobacco smoke,,Y,
1783,3.41E+14,1.74E+15,Asthma trigger - warm air,,Y,
9OJ1.00,185728001,285727014,Attends asthma monitoring,,Y,
66Y5.00,390872009,1484905010,Change in asthma management plan,,Y,
H47y000,41553006,69311016,Detergent asthma,,Y,
8H2P.00,183478001,3082895019,"Emergency admission, asthma",,Y,
663d.00,708358003,3033971010,Emergency asthma admission since last appointment,,Y,
8791,182724005,282486014,Further asthma - drug prevent.,,Y,
679J000,5.27E+14,1.18E+15,Health education - asthma self management,,Y,
679J100,5.27E+14,1.18E+15,Health education - structured asthma discussion,,Y,
679J200,5.27E+14,1.18E+15,Health education - structured patient focused asthma discuss,,Y,
663V100,370218001,1208969012,Mild asthma,,Y,
38DV.00,763695004,3643315013,Mini asthma quality of life questionnaire,,Y,
663V200,370219009,1208970013,Moderate asthma,,Y,
66Yu.00,8.11E+14,2.12E+15,Number days absent from school due to asthma in past 6 month,,Y,
663y.00,366874008,490425015,Number of asthma exacerbations in past year,,Y,
663V000,370220003,1208971012,Occasional asthma,,Y,
173c.00,57607007,95786019,Occupational asthma,,Y,
8CMA000,5.27E+14,1.18E+15,Patient has a written asthma personal action plan,,Y,
388t000,448003001,2900370011,Royal College Physician asthma assessment 3 question score,,Y,
388t.00,3.02E+14,5.36E+14,Royal College of Physicians asthma assessment,,Y,
H35y600,23315001,39131015,Sequoiosis (red-cedar asthma),,Y,
663V300,370221004,1208972017,Severe asthma,,Y,
66YA.00,390878008,1484911013,Step down change in asthma management plan,,Y,
66Y9.00,390877003,1484910014,Step up change in asthma management plan,,Y,
9NNX.00,698509001,2974554010,Under care of asthma specialist nurse,,Y,
H35y700,56968009,497732010,Wood asthma,,Y,
173d.00,57607007,95786019,Work aggravated asthma,,Y,
663h.00,312454005,456164012,Asthma - currently dormant,,,Y
9OJ..11,7.14E+14,1.56E+15,Asthma clinic administration,,,Y
8793,182726007,282488010,Asthma control step 0,,,Y
8CE2.00,183099005,283029017,Asthma leaflet given,,,Y
9OJ4.00,185731000,285730019,Asthma monitor 1st letter,,,Y
9OJ5.00,185732007,285731015,Asthma monitor 2nd letter,,,Y
9OJ6.00,185734008,285734011,Asthma monitor 3rd letter,,,Y
9OJ3.00,185730004,285729012,Asthma monitor offer default,,,Y
9OJ8.00,185736005,285736013,Asthma monitor phone invite,,,Y
9OJ7.00,185735009,285735012,Asthma monitor verbal invite,,,Y
9OJ..00,7.14E+14,1.56E+15,Asthma monitoring admin.,,,Y
9OJZ.00,7.14E+14,1.56E+15,Asthma monitoring admin.NOS,,,Y
9OJA.00,270442000,405055018,Asthma monitoring check done,,,Y
66YE.00,390940007,1484970018,Asthma monitoring due,,,Y
663O.00,170635006,264544010,Asthma not disturbing sleep,,,Y
663Q.00,170638008,264547015,Asthma not limiting activities,,,Y
9NI8.00,1.99E+14,3.00E+14,Asthma outreach clinic,,,Y
663W.00,170647000,264556011,Asthma prophylactic medication used,,,Y
13Y4.00,161105008,251191012,Asthma society member,,,Y
178..00,400987003,1780194017,Asthma trigger,,,Y
H330.12,233678006,350147016,Childhood asthma,,,Y
9N4Q.00,8.96E+13,1.39E+14,DNA - Did not attend asthma clinic,,,Y
9hA2.00,7.16E+14,1.57E+15,Excepted from asthma quality indicators: Informed dissent,,,Y
9hA1.00,7.17E+14,1.57E+15,Excepted from asthma quality indicators: Patient unstable,,,Y
9hA..00,7.16E+14,1.57E+15,Exception reporting: asthma quality indicators,,,Y
14B4.00,161527007,251716013,H/O: asthma,,,Y
679J.00,401135008,1780336013,Health education - asthma,,,Y
H332.00,195977004,301509017,Mixed asthma,,,Y
9Q21.00,185940009,285891014,Patient in asthma study,,,Y
8HTT.00,415265005,2533402016,Referral to asthma clinic,,,Y
9OJ2.00,763221007,3638224019,Refuses asthma monitoring,,,Y
9N1d.00,185242005,285239019,Seen in asthma clinic,,,Y
