phenotype_id,phenotype,CPRD,ICD,OPCS,name_portal,implementation,group,is_cancer,is_adult,file_stem,primary_care_code_lists,secondary_care_code_lists,death,case_note_review,ehr_sources,prognosis,genetic,cross_country,publications,type,status,date,modified_date,author,sex,valid_event_data_range,validation,clinical_terminologies,,data_sources,,version
PHE00011,Anal fissure,CPRD_anal_fissure.csv,ICD_anal_fissure.csv,OPCS_anal_fissure.csv,Anal Fissure,"At the specified date, a patient is defined as having had 'Anal fissure' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anal fissure' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anal fissure' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anal fissure' during a hospitalization",Digestive,0,1,anal_fissure,CPRD_anal_fissure.csv,"ICD_anal_fissure.csv,OPCS_anal_fissure.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-14",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00012,Angiodysplasia of colon,CPRD_angiodysplasia_colon.csv,ICD_angiodysplasia_colon.csv,,Angiodysplasia of colon,"At the specified date, a patient is defined as having had 'Angiodysplasia of colon' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Angiodysplasia of colon' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Angiodysplasia of colon' or history of diagnosis during a hospitalization",Digestive,0,1,angiodysplasia_colon,CPRD_angiodysplasia_colon.csv,ICD_angiodysplasia_colon.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-15",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00013,Ankylosing spondylitis,CPRD_ank_spond.csv,ICD_ank_spond.csv,,Ankylosing Spondylitis,"At the specified date, a patient is defined as having had 'Ankylosing spondylitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Ankylosing spondylitis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Ankylosing spondylitis' or history of diagnosis during a hospitalization",Musculoskeletal ,0,1,ank_spond,CPRD_ank_spond.csv,ICD_ank_spond.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-16",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00014,Anorectal fistula,CPRD_anorectal_fistula.csv,ICD_anorectal_fistula.csv,OPCS_anorectal_fistula.csv,Anorectal Fistula,"At the specified date, a patient is defined as having had 'Anorectal fistula' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anorectal fistula' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anorectal fistula' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anorectal fistula' during a hospitalization",Digestive,0,1,anorectal_fistula,CPRD_anorectal_fistula.csv,"ICD_anorectal_fistula.csv,OPCS_anorectal_fistula.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-17",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00015,Anorectal prolapse,CPRD_anorectal_prolapse.csv,ICD_anorectal_prolapse.csv,OPCS_anorectal_prolapse.csv,Anorectal Prolapse,"At the specified date, a patient is defined as having had 'Anorectal prolapse' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anorectal prolapse' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anorectal prolapse' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Anorectal prolapse' during a hospitalization",Digestive,0,1,anorectal_prolapse,CPRD_anorectal_prolapse.csv,"ICD_anorectal_prolapse.csv,OPCS_anorectal_prolapse.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-18",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00016,Anorexia and bulimia nervosa,CPRD_eating_dz.csv,ICD_eating_dz.csv,,Eating Disorders,"At the specified date, a patient is defined as having had Anorexia and bulimia nervosa IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Anorexia and bulimia nervosa diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Anorexia and bulimia nervosa or history of diagnosis during a hospitalization",Psychiatric,0,1,eating_dz,CPRD_eating_dz.csv,ICD_eating_dz.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-19",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00017,Anterior and Intermediate Uveitis,CPRD_ant_uveitis.csv,ICD_ant_uveitis.csv,,Anterior Uveitis,"At the specified date, a patient is defined as having had Anterior and Intermediate Uveitis IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Anterior and Intermediate Uveitis diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of Anterior and Intermediate Uveitis or history of diagnosis during a hospitalization",Eye,0,1,ant_uveitis,CPRD_ant_uveitis.csv,ICD_ant_uveitis.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-20",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00018,Anxiety disorders,CPRD_anxiety.csv,ICD_anxiety.csv,,Anxiety,"At the specified date, a patient is defined as having had 'Anxiety disorders' disorders IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Anxiety disorders' disorders diagnosis or history of diagnosis during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Anxiety disorders' disorders or history of diagnosis during a hospitalization",Psychiatric,0,1,anxiety,CPRD_anxiety.csv,ICD_anxiety.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-21",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00019,Aplastic anaemias,CPRD_aplastic.csv,ICD_aplastic.csv,,Aplastic Anaemias,"At the specified date, a patient is defined as having had 'Aplastic anaemias' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Aplastic anaemias' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Aplastic anaemias' or history of diagnosis during a hospitalization",Haematological or immunological,0,1,aplastic,CPRD_aplastic.csv,ICD_aplastic.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-22",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00020,Appendicitis,CPRD_appendicitis.csv,ICD_appendicitis.csv,OPCS_appendicitis.csv,Appendicitis,"At the specified date, a patient is defined as having had 'Appendicitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Appendicitis' diagnosis or history of diagnosis or procedure during a consultation 
OR
Secondary care
1. ALL diagnoses of 'Appendicitis' or history of diagnosis during a hospitalization
OR
Secondary care (OPCS4)
1. ALL procedures for 'Appendicitis' during a hospitalization",Digestive,0,1,appendicitis,CPRD_appendicitis.csv,"ICD_appendicitis.csv,OPCS_appendicitis.csv",,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-23",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00021,Asbestosis,CPRD_asbestosis.csv,ICD_asbestosis.csv,,Asbestosis,"At the specified date, a patient is defined as having had 'Asbestosis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Asbestosis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Asbestosis' or history of diagnosis during a hospitalization",Respiratory,0,1,asbestosis,CPRD_asbestosis.csv,ICD_asbestosis.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-24",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00022,Aspiration pneumonitis,CPRD_aspiration_pneumo.csv,ICD_aspiration_pneumo.csv,,Aspiration pneumonitis,"At the specified date, a patient is defined as having had 'Aspiration pneumonitis' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Aspiration pneumonitis' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Aspiration pneumonitis' or history of diagnosis during a hospitalization",Respiratory,0,1,aspiration_pneumo,CPRD_aspiration_pneumo.csv,ICD_aspiration_pneumo.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-25",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00023,Asthma,CPRD_asthma.csv,ICD_asthma.csv,,Asthma,"At the specified date, a patient is defined as having had 'Asthma' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Asthma' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Asthma' or history of diagnosis during a hospitalization",Respiratory,0,1,asthma,CPRD_asthma.csv,ICD_asthma.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-26",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00024,Atrial fibrillation,CPRD_AF.csv,ICD_AF.csv,,Atrial fibrillation,"Use MODIFIED CALIBER 'Atrial fibrillation' phenotyping algorithm: 

At the specified date, a patient is considered to have had 'Atrial fibrillation' or flutter IF they meet any of the criteria below on or before the specified date. 

The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:
1.	1.	Historical & Diagnosed: first recorded AF code indicates monitoring of an existing condition, or reference to a previous AF diagnosis, or a diagnosis code for AF; preference given to the earliest dated record rather than diagnosis source (i.e. no preference for primary versus secondary care).
    1.	af_gprd: category 1, 2, 3, 4, 5, 6, 7
    2.	af_hes: category 6",Cardiovascular,0,1,AF,CPRD_AF.csv,ICD_AF.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-27",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00025,"Atrioventricular block, complete",CPRD_av_block_3.csv,ICD_av_block_3.csv,,"Atrioventricular block, third degree","At the specified date, a patient is defined as having had Atrioventricular third degree, complete IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. Atrioventricular block, complete diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of Atrioventricular block, complete or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_3,CPRD_av_block_3.csv,ICD_av_block_3.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-28",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00026,"Atrioventricular block, first degree",CPRD_av_block_1.csv,ICD_av_block_1.csv,,"Atrioventricular block, first degree","At the specified date, a patient is defined as having had 'Atrioventricular block, first degree' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Atrioventricular block, first degree' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Atrioventricular block, first degree' or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_1,CPRD_av_block_1.csv,ICD_av_block_1.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-29",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
PHE00027,"Atrioventricular block, second degree",CPRD_av_block_2.csv,ICD_av_block_2.csv,,"Atrioventricular block, second degree","At the specified date, a patient is defined as having had 'Atrioventricular block, second degree' IF they meet the criteria for any of the following on or before the specified date. The earliest date on which the individual meets any of the following criteria on or before the specified date is defined as the first event date:

Primary care
1. 'Atrioventricular block, second degree' diagnosis or history of diagnosis during a consultation 
OR
Secondary care (ICD10)
1. ALL diagnoses of 'Atrioventricular block, second degree' or history of diagnosis during a hospitalization",Cardiovascular,0,1,av_block_2,CPRD_av_block_2.csv,ICD_av_block_2.csv,,,,,,,,Disease or Syndrome,DRAFT,23/11/2012,23/11/2012,"Julie George, Emily Herrett, Liam Smeeth, Harry Hemingway, Anoop Shah, Spiros Denaxas",Female/Male,01/01/1999 - 01/07/2016,"cross-source, casenote, aetiology, prognosis, genetic external","Read, ICD-10, ICD-9, OPCS-30",,"Primary care (CPRD), Hospital Admission Data (HES), Mortality Data (ONS)",,Revision 2
